var_code,varname,orig_varn,long_name,units,Note
var68,toa_net_srad_clearclean,,"Top net solar radiation, clear sky, clean sky",J m-2,
var69,toa_net_srad_clean,,"Top net solar radiation, clean sky",J m-2,
var70,surf_net_srad_clearclean,,"Surface net solar radiation, clear sky, clean sky",J m-2,
var71,surf_net_srad_clean,,"Surface net solar radiation, clean sky",J m-2,
var72,toa_net_lrad_clearclean,,"Top net thermal radiation, clear sky, clean sky",J m-2,
var73,toa_net_lrad_clean,,"Top net thermal radiation, clean sky",J m-2,
var74,surf_net_lrad_clearclean,,"Surface net thermal radiation, clear sky, clean sky",J m-2,
var75,surf_net_lrad_clean,,"Surface net thermal radiation, clean sky",J m-2,
var176,surf_net_srad,ssr,Surface net solar radiation,J m-2,
var177,surf_net_lrad,str,Surface net thermal radiation,J m-2,
var178,toa_net_srad,tsr,Top net solar radiation,J m-2,
var179,toa_net_lrad,ttr,Top net thermal radiation,J m-2,
var208,toa_net_srad_clear,tsrc,"Top net solar radiation, clear sky",J m-2,
var209,toa_net_lrad_clear,ttrc,"Top net thermal radiation, clear sky",J m-2,
var210,surf_net_srad_clear,ssrc,"Surface net solar radiation, clear sky",J m-2,
var211,sur_net_lrad_clear,strc,"Surface net thermal radiation, clear sky",J m-2,
var136,tcw,tcw,Total column water,kg m-2,
var137,tcwv,tcwv,Total column vertically-integrated water vapour,kg m-2,
var78,tclw,tclw,Total column cloud liquid water,kg m-2,
var79,tciw,tciw,Total column cloud ice water,kg m-2,
var164,ttc,ttc,Total cloud cover,1,
var20,cdnc,cdnc,Cloud Droplet Number Concentration,cm-3,"""Note that CDNC needs to be converted to the correct unit in a post-processing"""
var21,re_liq,re_liq, effective radius liquid, um,
var22,liq_cloud_time,liq_cloud_time, cloud time,sec,
var130,temp,temp,Temperature,K,
var131,U,U,u wind component,m/s,
var132,V,V,v wind component,m/s,
var167,t2,t2,2m Temperature,K,
var248,cc,cc,Fraction of cloud cover,1,
var54,pres,pres, Pressure,Pa,