,ASP,BIR,PAL,PLA,SMR,VHL,BOS,KPO,MPZ,OBK,HPB,WAL,CBW,HWL,MHD,FKL,JRC,ZEP,PDD,SSL,ZSF,JFJ,BEO,CMN
Station name,Aspvreten,Birkenes b,Pallas,Preila,SMEAR II,Vavihill,Bösel,K-Puszta,Melpitz,Kosetice,Hohenpeissenberg,Waldhof,Cabauw,Harwell,Mace Head,Finokalia,JRC-Ispra,Zeppelin,Puy de Dôme,Schauinsland,Zugspitze,Jungfraujoch,BEO Moussala,Monte Cimone
Country,SE,NO,FI,LT,FI,SE,DE,HU,DE,CZ,DE,DE,NL,UK,IE,GR,IT,NO,FR,DE,DE,CH,BG,IT
"Coordinates, altitude","58 ◦ 48 N,17 ◦ 23 E, 30 m","58 ◦ 23 N,8 ◦ 15 E, 190 m","67 ◦ 58 N,24 ◦ 7 E, 560 m","55 ◦ 55 N,21 ◦ 0 E, 5 m","61 ◦ 51 N,24 ◦ 17 E, 181 m","56 ◦ 1 N,13 ◦ 9 E, 172 m","53 ◦ 0 N,7 ◦ 57 E, 16 m","46 ◦ 58 N,19 ◦ 33 E, 125 m","51 ◦ 32 N,12 ◦ 54 E, 87 m","49 ◦ 35 N,15 ◦ 5 E, 534 m","47 ◦ 48 N,11 ◦ 0 E, 988 m","52 ◦ 31 N,10 ◦ 46 E, 70 m","51 ◦ 18 N,4 ◦ 55 E, 60 m","51 ◦ 34 N,1 ◦ 19 W, 60 m","53 ◦ 19 N,9 ◦ 53 W, 5 m","35 ◦ 20 N,25 ◦ 40 E, 250 m","45 ◦ 49 N,8 ◦ 38 E, 209 m","78 ◦ 55 N,11 ◦ 54 E, 474 m","45 ◦ 46 N,2 ◦ 57 E, 1465 m","47 ◦ 55 N,7 ◦ 55 E, 1210 m","47 ◦ 25 N,10 ◦ 59 E, 2650 m","46 ◦ 32 N,7 ◦ 59 E, 3580 m","42 ◦ 10 N,23 ◦ 35 E, 2971 m","44 ◦ 11 N,10 ◦ 41 E, 2165 m"
Categorya,,2.0,,6.0,,,,1.0,,1.0,1.0,,3.0,3.0,5.0,2.0,3.0,,4.0,1.0,4.0,2.0,,4.0
Instrument,DMPS,DMPS,DMPS,SMPS,DMPS,DMPS,SMPS,DMPS,DMPS,SMPS,SMPS,SMPS,SMPS,SMPS,SMPS,SMPS,DMPS,DMPS,SMPS,SMPS,SMPS,SMPS,SMPS,DMPS
Reference,Tunved et al. (2004),Amunsen et al. (1992),Lihavainen et al. (2008),Ulevicius et al. (2010),Hari and Kulmala (2005),Kristensson et al. (2008),Birmili et al. (2009a),Kiss et al. (2002),Engler et al. (2007),C̆ervenková and Ván̆a (2010),Birmili et al. (2003),Birmili et al. (2009a),Russchenberg et al. (2005),Charron et al. (2007),Jennings et al. (1991),Mihalopoulos et al. (1997),Gruening et al. (2009),Ström et al. (2003),Venzac et al. (2009),Birmili et al. (2009a),Birmili et al. (2009a),Jurányi et al. (2011),Nojarov et al. (2009),Marinoni et al. (2008)
Region,Nordic and Baltic,Nordic and Baltic,Nordic and Baltic,Nordic and Baltic,Nordic and Baltic,Nordic and Baltic,Central Europe,Central Europe,Central Europe,Central Europe,Central Europe,Central Europe,Western Europe,Western Europe,Western Europe,Mediterranean,Mediterranean,Arctic,Western Europe,Central Europe,Central Europe,Central Europe,Balkans,Mediterranean
Altitude category,Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),Low altitude sites (less than 1000 m a.s.l.),High altitude sites (over 1000 m a.s.l.),High altitude sites (over 1000 m a.s.l.),High altitude sites (over 1000 m a.s.l.),High altitude sites (over 1000 m a.s.l.),High altitude sites (over 1000 m a.s.l.),High altitude sites (over 1000 m a.s.l.)
lat,58.8,58.383333333333304,67.9666666666667,55.9166666666667,61.85,56.0166666666667,53.0,46.9666666666667,51.5333333333333,49.5833333333333,47.8,52.5166666666667,51.3,51.5666666666667,53.3166666666667,35.3333333333333,45.8166666666667,78.9166666666667,45.7666666666667,47.9166666666667,47.4166666666667,46.5333333333333,42.1666666666667,44.1833333333333
lon,17.3833333333333,8.25,24.1166666666667,21.0,24.283333333333303,13.15,7.95,19.55,12.9,15.083333333333302,11.0,10.766666666666698,4.91666666666667,1.31666666666667,9.88333333333333,25.6666666666667,8.63333333333333,11.9,2.95,7.91666666666667,10.983333333333302,7.98333333333333,23.5833333333333,10.6833333333333
altitude, 30 m, 190 m, 560 m, 5 m, 181 m, 172 m, 16 m, 125 m, 87 m, 534 m, 988 m, 70 m, 60 m, 60 m, 5 m, 250 m, 209 m, 474 m, 1465 m, 1210 m, 2650 m, 3580 m, 2971 m, 2165 m
noresm_input_format,17.38e_58.80n,8.25e_58.38n,24.12e_67.97n,21.00e_55.92n,24.28e_61.85n,13.15e_56.02n,7.95e_53.00n,19.55e_46.97n,12.90e_51.53n,15.08e_49.58n,11.00e_47.80n,10.77e_52.52n,4.92e_51.30n,1.32e_51.57n,9.88e_53.32n,25.67e_35.33n,8.63e_45.82n,11.90e_78.92n,2.95e_45.77n,7.92e_47.92n,10.98e_47.42n,7.98e_46.53n,23.58e_42.17n,10.68e_44.18n
noresm_output_format,LON_17.38e_LAT_58.80n,LON_8.25e_LAT_58.38n,LON_24.12e_LAT_67.97n,LON_21.00e_LAT_55.92n,LON_24.28e_LAT_61.85n,LON_13.15e_LAT_56.02n,LON_7.95e_LAT_53.00n,LON_19.55e_LAT_46.97n,LON_12.90e_LAT_51.53n,LON_15.08e_LAT_49.58n,LON_11.00e_LAT_47.80n,LON_10.77e_LAT_52.52n,LON_4.92e_LAT_51.30n,LON_1.32e_LAT_51.57n,LON_9.88e_LAT_53.32n,LON_25.67e_LAT_35.33n,LON_8.63e_LAT_45.82n,LON_11.90e_LAT_78.92n,LON_2.95e_LAT_45.77n,LON_7.92e_LAT_47.92n,LON_10.98e_LAT_47.42n,LON_7.98e_LAT_46.53n,LON_23.58e_LAT_42.17n,LON_10.68e_LAT_44.18n
Alternative_code,ASP,BIR,PAL,PLA,SMR,VHL,BOE,KPO,MPZ,OBK,HPB,WAL,CBW,HWL,MHD,FKL,ISP,ZEP,PDD,SCH,ZSF,JFJ,BEO,CMN
noresm2_output_format,lon_17.38e_lat_58.80n,lon_8.25e_lat_58.38n,lon_24.12e_lat_67.97n,lon_21.00e_lat_55.92n,lon_24.28e_lat_61.85n,lon_13.15e_lat_56.02n,lon_7.95e_lat_53.00n,lon_19.55e_lat_46.97n,lon_12.90e_lat_51.53n,lon_15.08e_lat_49.58n,lon_11.00e_lat_47.80n,lon_10.77e_lat_52.52n,lon_4.92e_lat_51.30n,lon_1.32e_lat_51.57n,lon_9.88e_lat_53.32n,lon_25.67e_lat_35.33n,lon_8.63e_lat_45.82n,lon_11.90e_lat_78.92n,lon_2.95e_lat_45.77n,lon_7.92e_lat_47.92n,lon_10.98e_lat_47.42n,lon_7.98e_lat_46.53n,lon_23.58e_lat_42.17n,lon_10.68e_lat_44.18n
Dall'Osto 2018 categories,North,Overlap,North,Overlap,North,Center,Center,South (spring),Center,Center,South (spring),Center,Overlap,Overlap,North,South (spring),South (spring),North,South (winter),South (winter),South (winter),South (spring),South (winter),South (winter)